type;action;artifact
1;confirm;['rule', 'ban', 'rogue system quarantine', 'stix object', 'change']
2;connect;['platform', 'server', 'platform', 'platform']
1;consider;['phishing email', 'phishing email', 'phishing email']
2;consolidate;['related records']
3;contact;['system owner', 'it group']
5;contain;['device']
1;continue;['flow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow']
2;convert;['HTML summary', 'lapsed time', 'JSON', 'string', 'URL', 'table', 'json list', 'list', 'rcpts', 'URL', 'subject', 'sender', 'relay', 'file space', 'attachment', 'attachment', 'extension', 'url recipients', 'attachment', 'internal recipients', 'array', 'array', 'array', 'array', 'asset id', 'severity', 'tag', 'settings', 'HTML blacklist', 'Blacklist HTML', 'system id', 'data', 'IDs', 'datetime', 'artifact', 'text', 'html', 'strings', 'epoch', 'IP address array', 'hash array', 'datetime', 'data', 'ID', 'latitude', 'longitude', 'report', 'json array', 'json array', 'severity', 'datetime', 'artifact', 'artifact', 'risk score', 'hosts', 'html', 'markdown', 'vulnerability severity', 'blacklist', 'zscaler blacklist', 'blacklist', 'zscaler blacklist', 'asset id', 'tag id', 'array', 'ID', 'dictionary', 'dictionary', 'data', 'data', 'document', 'array', 'report data', 'binary', 'jobid', 'output', 'json', 'report', 'email body', 'document', 'IP', 'table', 'table', 'table', 'table', 'table', 'table', 'array', 'array', 'array', 'array', 'array', 'severity', 'asset id', 'settings', 'text', 'artifact', 'artifact', 'risk score', 'vulnerability severity', 'array', 'asset id', 'ID', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'data', 'document', 'array', 'IP']
3;convict;['alert']
2;copy;['folder', 'file', 'variable', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'variable']
4;correlate;['similar alerts', 'files', 'similar alerts']
2;count;['index', 'array entries', 'iocs', 'connection', 'emails', 'vulnerabilities', 'owners', 'owners', 'owners', 'owners', 'owners', 'index', 'index', 'emails']
4;create;['domain indicator', 'file MD5 indicator', 'host indicator', 'IP indicator', 'URL indicator', 'data list', 'asset', 'indicator', 'communications record', 'indicator', 'file attachment', 'attachment', 'file', 'note', 'running process note', 'binary file indicator', 'tasks', 'attachment', 'indicators', 'ip indicators', 'domain indicators', 'url indicators', 'email thread', 'incident', 'assets', 'war room', 'user', 'issue', 'employees', 'user', 'user', 'ticket', 'ticket', 'issue', 'issue', 'modal', 'incident channel', 'channel', 'resource', 'executive comms tines resource', 'user', 'issue', 'group', 'array global resource', 'incident', 'ticket', 'graph', 'user', 'access checklist', 'user', 'user', 'incident', 'SecOps issue', 'ticket', 'claimset', 'story folders', 'errors', 'ticket', 'sharepoint information', 'alert', 'speedbump', 'blocklist resource', 'EBS snapshot', 'encrypted volume', 'ip url', 'volume', 'status update', 'note', 'incident', 'csv', 'vulnerability issue', 'case', 'timeline', 'page', 'page', 'trail', 'record', 'note', 'incident', 'user', 'profiles', 'template', 'landing page', 'campaign', 'group', 'md5 hashes', 'ticket', 'incident', 'ticket', 'ticket', 'tickets', 'duplicate incidents', 'word test file', 'campaign', 'threat', 'indicator', 'incident', 'event group', 'alert', 'file', 'filter', 'iocs', 'filter', 'case', 'tickets', 'custom data', 'case', 'case', 'output', 'final output', 'alert descriptions', 'ticket', 'tag', 'address object', 'address object', 'network object', 'address object', 'incident', 'remediation issue', 'remediation ticket', 'remediation ticket', 'BMC incident', 'report', 'asset group', 'snow incident', 'ticket', 'url', 'address object', 'address object', 'tag', 'exception', 'exception', 'memory table', 'ad account', 'basic volume', 'snapmirror', 'lun', 'export policy', 'export rule', 'record', 'vm snapshot', 'folder', 'alert', 'alert', 'alert', 'ssh bruteforce alert', 'alert', 'team', 'message', 'message', 'message', 'webhook', 'smiley face message', 'incident message', 'ticket', 'alert', 'ticket', 'ticket', 'summary note', 'custom format', 'host artifact', 'file artifact', 'case format', 'case', 'risk artifact', 'ioc', 'event', 'country keyword russia', 'country keyword china', 'country keyword north korea', 'report', 'threatconnect document', 'threatconnect incident', 'threatconnect adversary', 'association', 'new malicious host', 'host copy', 'event', 'threatconnect address', 'email address variables', 'host', 'file sha1', 'file sha256', 'tc group email', 'document', 'md5', 'url', 'task', 'incident', 'source attribute', 'threatconnect task', 'threatconnect event', 'attribute names', 'file insight report', 'file protection report', 'file protection report', 'threatconnect indicator', 'ioc types', 'ioc array', 'file related report', 'network insight report', 'network protection report', 'network protection report', 'network related report', 'network related report', 'signature', 'signature', 'signature', 'urls', 'hosts', 'query signature', 'signature', 'user array', 'jira document', 'attachment', 'association', 'group', 'titles array', 'arrays', 'error', 'tag', 'tag', 'behaviour attribute', 'file indicator', 'address indicators', 'host indicators', 'urls', 'user agent indicators', 'incident', 'indicators', 'tags', 'malware document', 'CIDR', 'indicator association', 'dns hosts', 'dns hosts', 'dns hosts', 'dns hosts', 'rsa archer record', 'phishing report', 'indicator', 'email document', 'ThreatConnect URL', 'threatconnect host', 'threatconnect address', 'threatconnect tag', 'threatconnect file', 'cms name tag', 'cms info attribute', 'cursor cache', 'blocking rule', 'IP indicators', 'zip file', 'exception', 'memory dump', 'process indicators', 'soc ticket', 'infrastructure breach ticket', 'ioc list', 'draft behavior profile', 'stix object review ticket', 'submission review ticket', 'submitter behavior profile', 'cve ticket', 'update configuration ticket', 'ids rule review ticket', 'threat intel ticket', 'sharing ticket', 'ticket', 'ticket', 'asset list', 'patch test machine', 'ticket', 'ticket', 'review ticket', 'feed failure ticket', 'review ticket', 'review ticket', 'restoration review ticket', 'failed restoration ticket', 'coa review ticket', 'soar event', 'draft alert ticket', 'service ticket', 'case', 'investigation ticket', 'alert rule', 'siem case', 'soar address entity', 'database entry', 'incident', 'ticket', 'domain indicator', 'domain indicator', 'domain indicator', 'domain indicator', 'domain indicator', 'file MD5 indicator', 'host indicator', 'IP indicator', 'URL indicator', 'indicator', 'indicator', 'indicator', 'war room', 'user', 'issue', 'modal', 'issue', 'user', 'issue', 'group', 'user', 'issue', 'group', 'issue', 'issue', 'issue', 'issue', 'issue', 'issue', 'issue', 'issue', 'ticket', 'incident', 'ticket', 'issue', 'issue', 'incident', 'issue', 'issue', 'issue', 'issue', 'issue', 'ip url', 'incident', 'note', 'issue', 'issue', 'issue', 'issue', 'csv', 'issue', 'incident', 'issue', 'note', 'issue', 'filter', 'filter', 'case', 'case', 'case', 'case', 'case', 'case', 'case', 'case', 'output', 'alert descriptions', 'output', 'alert descriptions', 'output', 'final output', 'final output', 'final output', 'final output', 'final output', 'final output', 'output', 'final output', 'output', 'final output', 'final output', 'output', 'final output', 'output', 'final output', 'output', 'final output', 'output', 'final output', 'output', 'final output', 'output', 'final output', 'address object', 'address object', 'network object', 'address object', 'remediation issue', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'basic volume', 'memory table', 'basic volume', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'memory table', 'record', 'alert', 'alert', 'alert', 'ticket', 'summary note', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'custom format', 'custom format', 'custom format', 'ticket', 'ticket', 'ioc', 'ioc', 'ioc', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'threatconnect document', 'attribute names', 'file insight report', 'file protection report', 'attribute names', 'network insight report', 'threatconnect indicator', 'ioc array', 'ioc types', 'threatconnect task', 'tags', 'ThreatConnect URL', 'threatconnect file', 'submission review ticket', 'submitter behavior profile', 'soc ticket', 'draft alert ticket', 'draft alert ticket', 'case', 'draft alert ticket', 'service ticket', 'case', 'database entry']
3;curate;['stix message', 'stix messages', 'stix message']
5;de;['port']
5;deactivate;['partition']
1;decide;['snapshots', 'snapshot', 'asset onboarding', 'AV scan', 'manual task', 'IP address block', 'template', 'domain block', 'block', 'quarantine', 'if else condition', 'coa', 'condition', 'indicator', 'playbook', 'risk threshold', 'enrichment output', 'related event', 'playbook', 'playbook', 'if else', 'action', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'manual task', 'domain block', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'if else condition', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'playbook', 'playbook', 'related event', 'playbook', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'condition', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'coa', 'if else', 'if else', 'if else']
2;decode;['file', 'EML', 'powershell', 'report', 'header', 'URL', 'cve report', 'data', 'url', 'base64 string', 'report', 'report', 'report', 'report']
2;decompress;['zip', 'file']
1;decrease;['context level']
2;decrypt;['gpg file']
2;deduplicate;['events', 'events', 'host', 'host', 'incidents', 'events', 'events', 'events', 'individual breaches', 'results', 'events', 'advisories', 'feed', 'JIRA ticket', 'items', 'user', 'training', 'event id', 'question', 'post', 'techniques', 'alerts', 'tactics', 'countries list', 'hostname', 'threat object', 'user', 'host', 'efficiency', 'events', 'events', 'events', 'incidents', 'individual breaches', 'events', 'events', 'results', 'training', 'training', 'events', 'alerts', 'tactics', 'techniques', 'alerts', 'techniques', 'tactics', 'hostname']
2;defang;['array', 'hxxp']
5;deisolate;['endpoint']
1;delay;['event', 'backup', 'minutes', 'seconds', 'seconds', 'event', 'seconds', 'minutes', 'minutes', 'minutes', 'action', 'event', 'event', 'event', 'event', 'seconds', 'seconds', 'seconds', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'event', 'minutes', 'minutes']
5,2;delete;['attachment', 'incident resource', 'mail', 'message', 'user', 'user', 'session', 'story', 'speedbump', 'mail', 'messages', 'items', 'context', 'page', 'page', 'trail', 'record', 'context', 'file job', 'user', 'profile', 'landing page', 'template', 'campaigns', 'group', 'explorer.exe', 'dummy vaccination', 'incident', 'context', 'file', 'tickets', 'threat', 'campaign', 'indicator', 'incident', 'group', 'case', 'suspicious', 'unsucessful', 'asset', 'asset', 'asset', 'messages', 'email', 'email', 'email', 'email', 'exception', 'folders', 'ad account', 'memory table columns', 'memory table rows', 'file', 'file', 'vm snapshot', 'service account key', 'file', 'email', 'indicator', 'indicator', 'run tags', 'file', 'file', 'context', 'stix object', 'session', 'session', 'message', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'context', 'asset', 'asset', 'email', 'file', 'file', 'file', 'memory table rows', 'folders', 'folders', 'memory table columns', 'service account key', 'file', 'email', 'context', 'stix object']
4;deobfuscate;['powershell', 'powershell']
5;deploy;['patch title', 'patch', 'computer', 'IoC', 'patch', 'mitigation', 'patch', 'account reset', 'patch', 'computer']
2,4;describe;['security group rules', 'ebs volume', 'trails', 'instance', 'instance', 'instance', 'instance']
5;detach;['denyall policy', 'EBS root volume', 'EBS root volume']
4;detect;['incident activity', 'incident activity', 'incident activity', 'incident activity', 'incident activity', 'username', 'alerts', 'alerts', 'alert', 'RDP connection', 'RDP connection']
4;determine;['ip type', 'connection status', 'response', 'quarantine state', 'IP address', 'ip', 'domain risk', 'quarantine state', 'IP address']
4;detonate;['file', 'file', 'url', 'url', 'file', 'autorun items', 'file', 'file', 'file', 'file', 'file', 'url', 'file', 'file', 'file', 'file', 'file', 'url']
5;develop;['mitigation strategy', 'mitigation strategy']
4;dig;['IP output message', 'IP output message', 'IP output message']
5;disable;['event logging', 'user', 'user account', 'status message', 'status message', 'status mesa', 'status message', 'user', 'LDAP', 'compromised user', 'ad account', 'account', 'user', 'user', 'DNS monitor', 'whois monitor', 'compromised account', 'account', 'compromised AD accounts', 'user', 'user', 'user account', 'user', 'user', 'user', 'account', 'account', 'account', 'user', 'user', 'user', 'DNS monitor', 'whois monitor']
2;disconnect;['connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector', 'connector']
4;discover;['process', 'remote system uncommon discovery', 'indicators system information', 'files', 'UNIX', 'system network configurations', 'file indicators', 'permissions groups', 'system time', 'system information', 'security software', 'system service', 'peripherals device', 'remote system', 'permission group', 'system service', 'system owner', 'peripheral device', 'network connection', 'account', 'software', 'process indicators', 'sofware indicators', 'network connection indicators']
4;discovery;['security software indicators']
2;dispatch;['playbook']
2;display;['value', 'email headers', 'email information', 'email headers', 'email headets', 'value', 'email headers', 'email information', 'email headers', 'email information']
1;do;['nothing', 'nothing', 'nothing', 'nothing', 'nothing']
3;document;['test', 'done', 'script', 'file', 'query', 'success', 'Genians', 'case management', 'alarm management', 'URL', 'threat', 'alert', 'manual remediation steps', 'incident digest', 'test', 'test', 'done', 'done', 'done', 'done', 'done', 'done', 'test', 'done', 'done', 'done', 'done', 'done', 'test', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'test', 'test', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done', 'done']
2;double;['extension detection']
4;download;['report', 'file', 'file', 'file', 'screenshot', 'report', 'file contents', 'material attachment', 'txt file', 'files', 'doc file', 'downloads docx', 'pdf file', 'eml file', 'xlsx file', 'email', 'SMIME', 'doc file', 'msg file', 'url', 'successfuls', 'indicators', 'indicators', 'module', 'files', 'files', 'attachments', 'sample', 'file', 'URL', 'report', 'txt file', 'files', 'doc file', 'downloads docx', 'pdf file', 'eml file', 'eml file', 'eml file', 'eml file', 'eml file', 'eml file', 'doc file', 'eml file']
5,2;drop;['file hash', 'columns', 'integration errors', 'columns', 'columns', 'columns', 'integration errors']
4;dump;['list content', 'active direcoty', 'active directory', 'credentials', 'list content']
2;edit;['severity', 'user name']
3;email;['graph', 'security alert', 'error message', 'message', 'success results', 'watch floor', 'report', 'report', 'case review status', 'ioc status', 'ioc status', 'consolidated domain list', 'ip list status', 'security alert', 'watch floor', 'watch floor']
5;enable;['ebs encryption', 'user', 'user account', 'status message', 'status message', 'status message', 'status message', 'ad account', 'privileged commands', 'user', 'user account', 'privileged commands']
2;encode;['update report', 'creation report', 'url', 'url indicator', 'jira credentials', 'data', 'update report', 'creation report', 'update report', 'creation report', 'update report', 'creation report', 'url']
1;end;['live response session', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow', 'workflow']
4;enrich;['indicator', 'domain reputation', 'summary', 'email reputation', 'file reputation', 'IP reputation', 'URL reputation', 'file hash reputation', 'host reputation', 'process reputation', 'IP', 'domain', 'hash', 'domain', 'CVE', 'IP', 'user', 'entity', 'entity', 'file', 'indicators', 'indicators', 'indicators', 'file', 'indicators', 'indicators', 'indicators', 'indicators', 'summary', 'email reputation', 'summary', 'summary', 'summary', 'indicator', 'domain reputation', 'IP reputation', 'email reputation', 'file reputation', 'summary', 'email reputation', 'CVE', 'user', 'user', 'user', 'entity', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators']
1;ensure;['fields', 'output fields', 'raw columns', 'raw log field', 'columns']
1;enter;['hash', 'hash']
2;enumerate;['host', 'file']
5;eradicate;['incident activity', 'incident activity', 'incident activity']
5;erase;['cursor cache']
3;escalate;['alert status', 'escalate playbook', 'issue', 'CISO', 'case', 'event']
2;escape;['string']
4;evade;['virtualization sandbox', 'virtualization sandbox indicators']
4;evaluate;['ioc', 'ioc coa', 'ioc', 'system coa alert review', 'ioc coas', 'ioc', 'ioc coa', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc coas', 'ioc coa', 'ioc coa', 'ioc coa', 'ioc coa']
5;exclude;['URL', 'domain', 'indicator', 'IP', 'indicators']
5;execute;['rtr command', 'script', 'web api', 'developer utilities', 'program.exe', 'rundll32 technique', 'html file technique', 'regscr32 technique', 'fdump', 'cmtps technique', 'dfbinst', 'setmyparent', 'office spawn scripting tool', 'command line', 'shell process', 'AT', 'AT output', 'task', 'task', 'vulnerability sync task', 'program', 'mitigation matching policy', 'coa', 'restoration workflow', 'rtr command', 'web api', 'web api', 'web api', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program', 'program']
1;exit;['domains', 'IPS', 'hash', 'IP', 'workflow', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition']
2;expand;['event', 'results', 'URLs', 'url qids', 'attachment qids', 'result']
2;explde;['rcpts']
2;explode;['employees', 'behaviour', 'detections', 'domains', 'submissions', 'iocs', 'image URLs', 'stories', 'stories', 'users', 'alerts', 'members', 'global resource', 'individual detections', 'leads', 'alerts', 'content', 'violations', 'access keys', 'results', 'recent advisories', 'recent advisories', 'feed item', 'IP', 'domains', 'gsuite admin events', 'individual detections', 'behaviors', 'articles', 'users', 'messages', 's3 object resources', 'ip addresses', 'AWS findings', 'chrome extensions', 'emails', 'assignees', 'enrollments', 'enrollments', 'enrollments', 'projects', 'snyk issues', 'agent id', 'osquery actions', 'alerts', 'sentences', 'emails', 'data', 'events array', 'tags array', 'whois results', 'qids', 'parts', 'subject', 'sender', 'relay', 'forwarding', 'URLs', 'alert tactic', 'alert techniques', 'alert id', 'violations', 'violations', 'violations', 'violations', 'violations', 'alerts', 'results', 'assignees', 'emails', 'data']
2;explode ;['credentials']
2;export;['items', 'story', 'story', 'story', 'story', 'story']
2;extract;['email info', 'indicators', 'indicators', 'indicators', 'indicators', 'indicators', 'body indicators', ' ioc data', 'domains', 'macros', 'iocs', 'images', 'domain', 'ticket id', 'email address', 'iocs', 'iocs', 'details', 'message details', 'credentials', 'pdf', 'links', 'IP address', 'ip selection', 'bucket', 'IP', 'memory', 'array slice', 'domain', 'details', 'email address', 'IP address', 'external ip', 'IP', 'iocs', 'alert', 'dns domain', 'domain', 'source domain', 'URLs', 'json', 'json', 'output json', 'cve details', 'report fields', 'history fields', 'regex', 'json fields', 'tld', 'tld', 'json fields', 'json fields', 'search base', 'command', 'action', 'hostname', 'ip', 'address', 'term', 'reports', 'patch title', 'dns names', 'title', 'action', 'dn', 'display name', 'cves', 'cves', 'hash', 'domain', 'domains', 'sha256', 'md5 hash', 'SHA1 hash', 'url', 'asset group information', 'IP', 'IP', 'argument', 'urls', 'URLs', 'header domains', 'domains', 'domains', 'URLs', 'URLs', 'URL', 'email body', 'domain', 'email address', 'URL', 'domains', 'header domains', 'domains', 'domains', 'arguments', 'body argument', 'arguments', 'source ip', 'OU', 'url', 'hashes', 'domains', 'ips', 'CVE list', 'asset id', 'hostname', 'hostname', 'asset ids', 'line', 'function', 'regex mail', 'owners names', 'results ioc', 'stats', 'keyword', 'keywords', 'data', 'keywords', 'API response', 'watchtower access token', 'access token', 'file protection API response', 'api response', 'API response', 'API response', 'snort rules', 'rule name', 'report id', 'yara rules', 'hosts', 'regex', 'jira id', 'data', 'ticket details', 'URL path', 'base URL', 'URLs', 'sample id ', 'iocs', 'indicators', 'incident indicators', 'file indicators', 'pdf indicators', 'word indicators', 'image text', 'reporter email address', 'email details', 'email artifacts', 'reporter email headers', 'alert type', 'account info', 'service users', 'user behavior analytics', 'account info', 'user name', 'embedded url', 'attachment file', 'unknown status ioc', 'alert system info', 'stix object', 'submitter', 'cve data', 'cve severity', 'submitter id', 'rule', 'ids rule', 'event data', 'stix data', 'ioc', 'ids rule', 'coa', 'operator recommendation', 'alert account information', 'ics device network location', 'domain', 'sender', 'file hash', 'ioc ip', 'source file ioc', 'source content ioc', 'ioc stix data', 'ticket id', 'details', 'iocs', 'IP', 'details', 'email address', 'email address', 'json fields', 'command', 'command', 'command', 'command', 'command', 'action', 'action', 'action', 'ip', 'reports', 'patch title', 'reports', 'reports', 'title', 'dn', 'action', 'cves', 'hash', 'dn', 'dn', 'cves', 'argument', 'argument', 'argument', 'argument', 'argument', 'argument', 'argument', 'urls', 'urls', 'URLs', 'URLs', 'domains', 'URLs', 'header domains', 'URLs', 'domains', 'domains', 'URLs', 'URLs', 'URLs', 'URLs', 'domains', 'domains', 'URLs', 'URLs', 'arguments', 'body argument', 'arguments', 'command', 'command', 'action', 'action', 'action', 'action', 'action', 'command', 'command', 'command', 'action', 'action', 'argument', 'argument', 'dn', 'url', 'urls', 'keyword', 'watchtower access token', 'API response', 'watchtower access token', 'access token', 'API response', 'watchtower access token', 'watchtower access token', 'api response', 'watchtower access token', 'watchtower access token', 'API response', 'watchtower access token', 'watchtower access token', 'watchtower access token', 'api response', 'regex', 'data', 'email details', 'email artifacts']
4,3;fetch;['SLA details', 'open alert', 'relation', 'open incidents', 'user details ', 'user details', 'user details', 'SLA details', 'team roster', 'security event', 'security event log', 'IoCs', 'EML', 'related logs', 'alarm', 'commands', 'incidents', 'field', 'fixlet', 'es asset', 'security event log', 'files', 'SLA details', 'SLA details', 'SLA details', 'SLA details', 'SLA details', 'team roster', 'team roster', 'team roster', 'team roster', 'team roster', 'security event', 'related logs', 'fixlet']
2;fill;['form']
