action,artifact
list,"['user tags', 'story folders', 'teams', 'stories', 'processes', 'files', 'user access keys', 'teams', 'resources', 'credentials', 'aws users', 'aws groups', 'messages', 'resources', 'incident notes', 'projects', 'endpoint', 'endpoint info', 'hosted zones', 'resource', 'alerts', 'scripts', 'commands', 'agents', 'ticket', 'scan results', 'ad', 'process', 'vm', 'vm snapshot info', 'vm host', 'applications pool', 'team', 'account', 'process', 'firewall rule', 'process', 'connection', 'security group', 'session', 'connection', 'process', 'policy', 'service account key', 'device', 'process', 'connection', 'firewall rule', 'session', 'process', 'connection', 'connection', 'endpoint', 'process', 'block playbook', 'investigate playbook', 'workbook', 'asset playbook', 'identity playbook', 'response playbook', 'user group', 'azure ad users', 'user', 'vm', 'detected hostnames', 'system commands', 'stories', 'ad', 'ad', 'ad', 'ad', 'ad', 'ad', 'ad', 'ad', 'process', 'vm', 'vm', 'vm snapshot info', 'vm host', 'vm', 'vm', 'vm', 'vm snapshot info', 'applications pool', 'applications pool', 'process', 'azure ad users', 'user', 'vm', 'process', 'process', 'security group', 'process', 'policy', 'service account key', 'service account key', 'process', 'connection', 'device', 'connection', 'block playbook', 'investigate playbook', 'workbook', 'workbook', 'response playbook', 'vm', 'vm', 'connection', 'endpoint', 'process', 'connection', 'endpoint', 'process']"
list ,"['folders', 'folder', 'vm snapshot', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folders', 'folder', 'folder', 'folder', 'folder', 'folders', 'vm snapshot', 'vm snapshot', 'folders']"
load,"['configured connectors', 'war room', 'war room owners', 'war room relationsships', 'user war owners', 'user email domains', 'user object', 'relationsship', 'applications', 'list', 'list', 'war room relationsships', 'war room owners', 'relationsship', 'list']"
locate,"['domain', 'IP', 'story', 'offices', 'file', 'domain', 'IP', 'file', 'file']"
lock,"['user account', 'device', 'device']"
log,"['error', 'no ioc found', 'data', 'data', 'data', 'data', 'data', 'status', 'hosts', 'false positives', 'connected id system user', 'status', 'status', 'status', 'connected id system user', 'connected id system user']"
logoff,"['user', 'user']"
look,"['attachments', 'results', 'windows user', 'autorun entries', 'processes', 'system processes', 'process', 'network sniffer traces', 'system file modification']"
lookup,"['user', 'IP address', 'ip', 'IP', 'IP', 'credentials', 'credentials', 'IP', 'events', 'source', 'username', 'IP information', 'domain information', 'whois', 'recipient addresses', 'domain information', 'IP', 'geo ip', 'file hashes', 'alert hash', 'geo ip', 'vulnerability ', 'vulnerability', 'failure message', 'whois', 'failure message', 'URLs', 'abuse Ips', 'hash', 'file', 'threat', 'DNS', 'results', 'domain', 'hash', 'IP', 'domain', 'URL', 'hash', 'hash', 'domain', 'IP', 'domain', 'URL', 'hash', 'domain', 'hash', 'IP', 'domain', 'reverse DNS', 'IP', 'reverse DNS', 'hash', 'URL', 'domain', 'IP', 'hashes', 'IP', 'hash', 'hash', 'hash', 'hash', 'URL', 'GeoIPs', 'domain', 'hash', 'IP', 'URL', 'host', 'host', 'vulnerabilities', 'hash', 'hash', 'hash', 'domain', 'vulnerability', 'hash', 'hash', 'phishing emails', 'phishing emails', 'asset', 'global artifact', 'ip threat information', 'certificate', 'ip', 'ip', 'domain', 'hash', 'ip', 'alert rule', 'alert data', 'url', 'url', 'value', 'value', 'counts', 'data store', 'value', 'cache', 'hashes', 'domain reputation', 'reputation', 'IP address', 'IP', 'IP', 'IP', 'whois', 'geo ip', 'DNS', 'results', 'DNS', 'whois', 'IP', 'domain', 'hash', 'hash', 'domain', 'reverse DNS', 'IP', 'whois', 'reverse DNS', 'domain', 'IP', 'domain', 'URL', 'hash', 'IP', 'domain', 'URL', 'hash', 'URL', 'URL', 'hashes', 'domain', 'hash', 'whois', 'hash', 'URL', 'domain', 'hash', 'IP', 'host', 'vulnerabilities', 'vulnerabilities', 'domain', 'global artifact', 'whois', 'certificate', 'ip', 'ip', 'ip', 'hash', 'domain', 'ip', 'ip', 'alert data', 'domain', 'domain', 'domain', 'url', 'domain', 'url', 'value', 'value']"
loop,"['assignees', 'IPs', 'vulnerabilities', 'vulnerabilities', 'string array', 'URLs', 'IP', 'SHA256 hash', 'hash blacklist', 'MD5 hash', 'blacklist indicator', 'hash', 'processes', 'users', 'IP addresses', 'blocked host', 'hosts', 'blocked hosts', 'blocked indicator', 'agents', 'IP addresses', 'block status', 'host block status', 'vulnerabilities', 'IDs', 'remediations', 'deleted ids', 'assets', 'deleted assets', 'users', 'user confidence score', 'CVE', 'threat intelligence', 'domain', 'IP addresses', 'domain', 'URLs', 'XDR results', 'hash', 'Ips', 'domains', 'hash', 'processes', 'IP address', ' URLs', 'hash report', 'IP address', 'hash', 'processes', 'URL', 'hash', 'MD5 hash', 'URL scan', 'deleted emails', 'emails', 'emails', 'deleted emails', 'logs', 'Slack', 'join', 'finding', 'userss', 'user', 'IP', 'IP address', 'exploits', 'assets', 'remediations', 'vulnerabilities', 'vulnerability ids', 'count', 'asset information', 'vulnerability ids', 'watched domains', 'site', 'analysis', 'attached file', 'emails', 'email attachment', 'files', 'domain lookup', 'vulnerabilities', 'tasks', 'report', 'issues', 'user', 'tickets', 'issues', 'headers', 'files', 'headers', 'emls', 'files', 'phishing emails', 'attached email', 'attachment', 'URLs', 'assets', 'quarantines', 'quarantine', 'scan status', 'host names', 'detections', 'vulnerability details', 'domains', 'IP', 'users', 'URL', 'objects', 'address object', 'users', 'alert details', 'vulnerability id ', 'vulnerability id ', 'scanned asset', 'while condition', 'ip', 'results', 'assignees', 'vulnerabilities', 'SHA256 hash', 'MD5 hash', 'blacklist indicator', 'blacklist indicator', 'users', 'IP addresses', 'blocked host', 'blocked hosts', 'IP addresses', 'IP addresses', 'block status', 'IDs', 'domain', 'URLs', 'hash', 'URLs', 'Ips', 'Ips', 'domain', 'URLs', 'IP addresses', 'domain', 'URLs', 'hash', 'processes', 'IP address', 'processes', 'IP address', 'hash report', ' URLs', 'processes', 'IP address', 'emails', 'deleted emails', 'Slack', 'join', 'domain', 'hash', 'URLs', 'exploits', 'assets', 'assets', 'vulnerabilities', 'vulnerability ids', 'vulnerabilities', 'count', 'asset information', 'watched domains', 'email attachment', 'files', 'URLs', 'analysis', 'attached file', 'URLs', 'domain lookup', 'emails', 'issues', 'emls', 'emls', 'files', 'headers', 'files', 'headers', 'files', 'emls', 'files', 'files', 'headers', 'emls', 'files', 'headers', 'files', 'quarantines', 'quarantine', 'remediations', 'vulnerability details', 'domains', 'IP', 'objects', 'users', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'while condition', 'results', 'results', 'results']"
lower,"['node', 'field']"
maintain,"['service', 'service']"
make,"['bucket private', 'bucker public', 'fail', 'individual subject', 'individual sender', 'recipient sender', 'recipient sender', 'sender', 'recipient sender', 'recipient sender', 'recipient sender', 'recipient sender', 'individual internal recipients', 'NexposeID object', 'string', 'verdict decision', 'high risk verdict', 'low risk verdict', 'delete decision', 'filepath decision', 'quarantine decision', 'file search decision', 'result decision', 'risk rule decision', 'indicator playbook decision', 'decision', 'workbook decision', 'note decision', 'note decision', 'decision', 'workbook decision', 'workbook decision', 'workbook decision', 'merge any decision', 'decision', 'decision', 'user decision', 'host decision', 'playbook decision', 'indicator decision', 'decision', 'user response decision', 'hostname decision', 'user decision', 'status decision', 'changes', 'changes', 'fail', 'NexposeID object', 'file search decision', 'result decision', 'delete decision', 'filepath decision', 'quarantine decision', 'file search decision', 'indicator playbook decision', 'decision', 'workbook decision', 'note decision', 'note decision', 'decision', 'note decision', 'decision', 'host decision', 'indicator decision', 'user response decision', 'user decision', 'playbook decision', 'hostname decision']"
map,"['lun', 'lun']"
maps,['notes']
mark,"['TBD', 'blocked status', 'unblocked status', 'isolated status', 'TBD status', 'email', 'expired', 'escalated', 'email', 'email', 'case', 'containment report', 'update tag', 'close tag', 'preprocess tag', 'close note', 'artifact evidence', 'evident artifact', 'incident', 'IP', 'domain', 'system monitoring', 'coa review', 'false positive', 'false positive', 'sharing ioc', 'sharing ids rule', 'sharing coa', 'TBD', 'TBD', 'blocked status', 'TBD', 'unblocked status', 'blocked status', 'TBD', 'unblocked status', 'TBD', 'TBD', 'blocked status', 'unblocked status', 'TBD', 'TBD', 'blocked status', 'unblocked status', 'TBD', 'blocked status', 'blocked status', 'TBD', 'TBD', 'unblocked status', 'TBD', 'blocked status', 'TBD', 'unblocked status', 'domain', 'system monitoring', 'system monitoring', 'coa review', 'system monitoring', 'coa review', 'sharing ids rule', 'sharing coa']"
match,"['IP', 'team', 'folder', 'story id', 'user', 'instance', 'pattern', 'regex', 'corpus', 'pattern', 'pattern', 'array', 'string', 'domain', 'extraction step', 'ids', 'time', 'IP', 'country count', 'search base', 'IP address', 'basename', 'base', 'searchbase', 'malicious', 'headers', 'test', 'pdf file', 'malicious', 'legitimate', 'emergency response', 'legitimate', 'subject', 'risk score', 'job id', 'IP', 'user', 'instance', 'pattern', 'regex', 'pattern', 'domain', 'extraction step', 'ids', 'country count', 'IP address', 'basename', 'subject', 'risk score']"
merge,"['list', 'list', 'list', 'url hash list', 'ip list', 'verdict', 'result decision', 'case information', 'case format', 'data', 'selected data', 'format', 'individual format', 'note', 'api result', 'result', 'actor result', 'data', 'response', 'branches', 'hashes', 'data', 'data', 'data', 'data', 'data', 'signature', 'data', 'type', 'response', 'attributes', 'comments', 'document entitiy', 'verdict', 'result', 'http content', 'list', 'list', 'result decision', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'response', 'hashes', 'hashes', 'data', 'data', 'data', 'signature', 'data', 'data', 'result']"
migrate,"['service', 'system', 'operations']"
mitigate,"['assets', 'actions', 'system', 'issue', 'actions', 'issue']"
modify,"['security group rule', 'user', 'data', 'message', 'datetime', 'block list', 'network access', 'datetime', 'block list']"
monitor,"['disk space', 'internal system', 'account', 'removable media alert', 'rogue system alert', 'internal system', 'account', 'disk space', 'disk space', 'disk space']"
mute,"['conversation', 'destination port', 'destination port', 'destination subnet', 'source subnet']"
normalize,"['date', 'data', 'field', 'event', 'reporter email headers', 'date', 'reporter email headers']"
notify,"['failure', 'missing credentials', 'requester', 'analyst', 'confirmation', 'assets', 'networks', 'message', 'message', 'warnings', 'alert', 'isolation status', 'isolation status', 'isolation status', 'isolation status', 'auto approval', 'auto approval', 'actions', 'SecOps', 'command status', 'log status', 'user', 'infected endpoints', 'IR team', 'public relations teams', 'affected user', 'management chain', 'internal PR team', 'IT', 'security vendor', 'reported email', 'ticket', 'ticket', 'urgent ticket', 'ticket', 'ticket', 'review ticket', 'ticket', 'rule review', 'ticket', 'ticket', 'review ticket', 'ticket', 'ticket', 'ticket', 'ticket', 'pw reset', 'pw reset', 'reset', 'pw reset', 'pw reset', 'reset', 'message', 'message', 'recovery', 'reinstall request', 'restoration', 'failed restoration', 'failed reinstall', 'review', 'failed restoration', 'restart', 'service status', 'analyst', 'message', 'alert', 'isolation status', 'isolation status', 'isolation status', 'auto approval', 'actions', 'infected endpoints', 'ticket', 'ticket', 'review ticket', 'rule review', 'review ticket', 'ticket', 'ticket', 'ticket', 'reset', 'pw reset', 'pw reset', 'message', 'ticket', 'recovery', 'ticket', 'failed restoration', 'restart', 'ticket']"
obtain,"['ids', 'resources']"
offense,['installation offenses']
omit,['quotes']
onboard,['asset']
open,"['live response session', 'ticket', 'ticket', 'incident', 'case', 'case', 'case']"
orchestrate,"['response', 'manual investigation']"
order,['platform']
output,"['result', 'failures', 'new scans', 'detections', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'result', 'detections', 'result', 'result', 'result', 'result', 'result', 'detections', 'result', 'detections', 'result', 'detections', 'result', 'result', 'result', 'result', 'detections', 'result', 'result', 'result', 'detections', 'result']"
pack,['software']
parallelize,"['workflow', 'workflow', 'workflow', 'workflow', 'workflow']"
parse,"['json', 'response', 'URL IoCs', 'alerts', 'email file', 'email files', 'email headers', 'email headers', 'word document', 'threat alert', 'traffic alert', 'alert', 'details', 'tag name', 'event name', 'events array', 'event list', 'hash result', 'hash result', 'usable scans', 'batch url', 'download results', 'error', 'integration response', 'url scan results', 'threatminer whois results', 'search results', 'case deletion results', 'proofpoint data', 'incident parameters', 'arguments', 'headers', 'hosts', 'lines', 'domains', 'ioc', 'ip', 'ioc', 'ioc', 'ioc', 'ioc', 'risk result', 'hashes', 'report data', 'stix', 'http header', 'html text', 'datastore response', 'task id', 'EML', 'RSS ', 'rule info', 'CSV', 'job status', 'portal data', 'errors', 'JSON response', 'HTTP response body', 'stix', 'ioc', 'response', 'response', 'response', 'email files', 'integration response', 'url scan results', 'arguments', 'arguments', 'ioc', 'http header', 'RSS ', 'rule info', 'CSV', 'stix']"
pass,"['cybersecurity training', 'expiration days left count', 'data', 'expiration days left count', 'expiration days left count', 'expiration days left count', 'data']"
patch,['system']
pause,"['Ack SLA', 'resonse SLA', 'minutes', 'testing', 'workflow', 'workflow', 'Ack SLA', 'resonse SLA', 'Ack SLA', 'resonse SLA', 'Ack SLA', 'resonse SLA', 'minutes']"
perfom,"['vm snapshot', 'vm snapshot', 'vm snapshot', 'vm snapshot', 'vm snapshot', 'vm snapshot']"
perform,"['playbook', 'port scan', 'sql query', 'advanced communication', 'calculation', 'wake on lan', 'curl', 'custom function', 'custom function', 'task', 'sha256 union', 'md5 sha1 union', 'http attempt', 'if condition', 'if condition', 'malware analysis', 'coa alert review', 'ics asset mitigation', 'account alert review', 'system alert review', 'cve patch test', 'incident response procedure', 'enrichment scan', 'stix workflow', 'domain regret workflow', 'emails regret workflow', 'filehash regret workflow', 'enrichment', 'regret determination checks', 'ips regret workflow', 'ip regret workflow', 'regret workflow', 'port scan', 'sql query', 'sql query', 'sql query', 'sql query', 'advanced communication', 'advanced communication', 'calculation', 'calculation', 'calculation', 'wake on lan', 'wake on lan', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'task', 'custom function', 'custom function', 'custom function', 'task', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'custom function', 'malware analysis', 'stix workflow', 'emails regret workflow', 'stix workflow', 'filehash regret workflow', 'enrichment', 'regret determination checks', 'ips regret workflow', 'stix workflow', 'ip regret workflow', 'domain regret workflow', 'emails regret workflow', 'stix workflow', 'stix workflow', 'stix workflow']"
pick,['integration errors']
pin,"['data', 'url', 'data', 'data', 'data', 'data', 'data', 'url']"
ping,"['exfiltration', 'service', 'server']"
poll,['source']
poost,"['usage', 'usage', 'usage', 'usage']"
populate,"['form', 'form']"
post,"['incident activity', 'incident activity', 'slack message', 'hire information', 'message', 'backup notification', 'archive notification', 'archive notification', 'archive notification', 'message', 'notification', 'update', 'resolution update', 'message', 'message', 'message', 'threat message', 'threat message', 'vulnerability alert', 'message', 'message', 'posts failure', 'malicious url message', 'no valid indicators', 'IP results', 'no malicious URL', 'command received', 'failure', 'help', 'success', 'request received', 'unblacklist failure', 'blacklist channel', 'status', 'HTML failure message', 'usage', 'unblacklist failure', 'request received', 'help', 'blacklist failure', 'blacklist failure', 'success message', 'status', 'blacklist status message', 'message', 'indicator status message', 'indicator message', 'status message', 'workflow status message', 'microsoft command', 'indicator status message', 'status message', 'workflow status message', 'status message', 'workflow status', 'usage message', 'workflow status', 'notification', 'parsing status message', 'inactive assets', 'inactive assets', 'action', 'user status message', 'status message', 'enriched CVE report', 'enriched cve report', 'CVE status', 'status', ' scan report status', 'scan report status', 'lookup status', 'lookup status message', 'submission status', 'URL scan report', 'URL scan status', 'URL scan report', 'URL scan status', 'URL scan status', 'argument status', 'argument status', 'host details', 'host details', 'results', 'results', 'results', 'result', 'message', 'fix', 'vulnerabilities status', 'vulnerability status message', 'vulnerability status message', 'workflow status', 'vulnerability results', 'status message', 'status message', 'site result', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'message', 'message', 'block message', 'ip', 'hash', 'data', 'negative risk event', 'stix bundle', 'taxii server', 'message', 'message', 'notification', 'update', 'resolution update', 'notification', 'message', 'message', 'message', 'message', 'message', 'vulnerability alert', 'message', 'message', 'message', 'HTML failure message', 'success', 'help', 'request received', 'help', 'message', 'blacklist failure', 'unblacklist failure', 'success', 'status', 'usage', 'unblacklist failure', 'request received', 'help', 'message', 'blacklist failure', 'usage', 'request received', 'help', 'blacklist failure', 'success message', 'status', 'request received', 'blacklist status message', 'request received', 'message', 'blacklist failure', 'indicator status message', 'indicator message', 'usage', 'unblacklist failure', 'request received', 'message', 'blacklist failure', 'workflow status message', 'status message', 'status message', 'status message', 'command received', 'workflow status message', 'posts failure', 'indicator status message', 'status message', 'status message', 'status message', 'inactive assets', 'enriched CVE report', 'enriched cve report', 'CVE status', 'success message', 'scan report status', 'lookup status', 'microsoft command', 'URL scan status', 'URL scan status', 'command received', 'argument status', 'argument status', 'results', 'results', 'result', 'message', 'message', 'vulnerabilities status', 'workflow status', 'vulnerability results', 'results', 'results', 'results', 'workflow status', 'workflow status', 'workflow status message', 'workflow status', 'quarantine state', 'usage', 'quarantine state', 'request received', 'quarantine state', 'request received', 'quarantine state', 'usage', 'quarantine state', 'quarantine state', 'request received', 'quarantine state', 'workflow status', 'command received', 'message', 'message', 'block message', 'ip', 'hash', 'negative risk event', 'data']"
power on,"['vm', 'vm']"
predict,"['phishing type', 'phishing URL', 'phishing type']"
prepare,"['related records', 'comment record payload', 'download', 'file upload', 'case search', 'baseline', 'additional data', 'data', 'labels', 'output', 'alert', 'alert output', 'alert output', 'output', 'alert output', 'output', 'additional data', 'additional data', 'additional data', 'labels']"
preview,"['pdf file', 'pdf file']"
print,"['final output', 'URL', 'scan results', 'request status', 'scan status', 'report status', 'status', 'report submission', 'submission status', 'urlscan report', 'no emails', 'GeoIP report', 'no IP found', 'query error', 'nothing found', 'GeoIP details', 'query status', 'URL status', 'error', 'scan status', 'no emails', 'query status', 'URL status', 'error']"
privat,"['iss ip', 'iss ip']"
process,"['email', 'XLS script', 'dump', 'remediation', 'counter', 'output', 'note', 'response', 'response', 'ioc', 'ioc', 'av endpoint alert', 'fw alert', 'ids alert', 'cve', 'account alert', 'ip ioc', 'email', 'dump', 'remediation', 'remediation', 'remediation', 'counter', 'counter', 'response', 'response', 'fw alert', 'ids alert', 'ioc']"
profile,['domain']
promote,"['case link', 'case link', 'case link']"
prompt,['deletion']
proofpoint,"['sender address', 'data']"
provide,['end user remediation guidance']
publish,"['output body', 'groups', 'stix object', 'stix', 'stix', 'stix bundle', 'stix']"
pull,"['ioc', 'email sender', 'internal ip', 'content', 'taxii server', 'audit log', 'taxii server', 'email sender', 'internal ip', 'content']"
purge,"['email', 'message', 'email', 'message']"
push,"['consolidated domain list', 'consolidated ip list']"
put,['run command']
quarantine,"[' endpoint', 'asset', 'host', 'DoS IP', 'host', 'host', 'endpoint', 'artifact', 'quarantine message', 'endpoint', 'endpoint', 'host', 'device', 'device', 'device', 'file', 'file', 'asset', 'affected system', 'DoS IP', 'host', 'host', 'asset', 'endpoint', 'endpoint', 'endpoint', 'host', 'host', 'device', 'device', 'device', 'device', 'device', 'device', 'device', 'device', 'file']"
query,"['speedbump', 'IP detection hits', 'IP hits', 'file', 'process', 'dns request', 'DNS', 'DNS', 'incident', 'ticket', 'tickets', 'ticket', 'table', 'domain information', 'username', 'SQL', 'hash reputation', 'hash', 'results', 'analysis hash', 'netskope logs', 'mimecast logs', 'user information', 'group membership', 'LDAP', 'AD', 'AD', 'LDAP', 'reputation', 'gnqls', 'certificate', 'risk rule', 'identity', 'asset', 'messages', 'HIBP', 'active ip connection', 'domain url connection', 'domain url connection', 'domain url connection', 'file', 'email', 'log', 'enrichment data', 'account data', 'ip', 'ip', 'domain url', 'domain url', 'file', 'file', 'blocked email sender', 'group membership', 'id user name', 'user info', 'cve applicable status', 'software', 'cve addressed status', 'cve', 'patch', 'tip record', 'account type', 'asset', 'local enrichment ip ioc information', 'block list', 'visited domain', 'blocklist url', 'siem', 'reputation check', 'alert', 'splunk', 'file hash', 'ioc', 'local data source', 'remote ip db', 'destination ip', 'source ip', 'fw ip block list', 'database attribute', 'information management database', 'database ioc', 'database', 'reputation', 'incident', 'username', 'username', 'domain information', 'LDAP', 'gnqls', 'gnqls', 'log', 'account type', 'block list', 'reputation check', 'alert', 'local data source', 'fw ip block list', 'database attribute', 'database attribute', 'database attribute', 'database attribute', 'information management database', 'information management database', 'database ioc']"
raise,"['error', 'case search failures', 'deletion failure', 'incident', 'error', 'error', 'error', 'error', 'deletion failure', 'incident', 'error']"
read,"['file contents', 'sheet', 'emails', 'scan history list', 'xls', 'file', 'continuous file', 'sheet', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'file', 'file', 'file', 'file', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'continuous file', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'xls', 'continuous file']"
reboot,"['system', 'system']"
rebuild,"['server', 'server']"
recalculate,"['Ack SLA', 'response SLA', 'Ack SLA', 'response SLA']"
receive,"['events', 'commands', 'file', 'data', 'url', 'sts', 'alerts', 'commands', 'form data', 'email details', 'form', 'sns', 'canary tools webhook', 'request', 'alert', 'command', 'alert', 'event', 'form data', 'ip address', 'events', 'message', 'security pack request', 'urls', 'user information', 'webhook', 'unsubscribe email', 'threat traffic', 'alert', 'url', 'email ioc', 'virus alert', 'requests', 'request', 'commands', 'command', 'post', 'response type review', 'alert', 'response type review', 'coa alert review', 'process alert', 'system', 'account alert', 'av endpoint alert', 'siem ics network alert', 'threat intel', 'heartbeat failure message', 'removable media alert', 'unrecognized system alert', 'stix message', 'threat intel', 'cve', 'threat intel', 'coa alert', 'alert', 'domain threat feed', 'domain ioc', 'url container', 'ticket', 'email ioc', 'alert', 'file hash alert', 'file ioc', 'virustotal report', 'file hash container', 'threat ip', 'ip ioc', 'ip container', 'analyst vetting notification', 'analyst validation notification', 'false positive notification', 'revoke ioc notification', 'threat feed alert', 'stix object', 'domain ioc', 'sts', 'form', 'form', 'sts', 'sns', 'command', 'form', 'email details', 'sts', 'alert', 'email ioc', 'request', 'command', 'requests', 'request', 'requests', 'request', 'post', 'siem ics network alert', 'coa alert review', 'coa alert', 'ticket', 'email ioc', 'virustotal report', 'threat ip', 'ip ioc', 'analyst vetting notification', 'false positive notification', 'revoke ioc notification', 'threat feed alert']"
record,"['conversation', 'destination port', 'destination subnet', 'source subnet', 'source port']"
recover,"['incident activity', 'incident activity', 'incident activity']"
reduce,['outbound']
reference,['version number']
reformat,['input']
register,['tag']
reimage,['asset']
reinstall,"['service', 'service', 'service', 'service']"
reinstate,['disabled user accounts']
reject,['exception']
remediate,"['malware ', 'rootkit', 'event log finding', 'incident', 'incident', 'system', 'rootkit', 'incident', 'incident', 'system']"
remove,"['indicators', 'attachment', 'iam console password', 'case status', 'case status', 'indicator tag', 'blocklist', 'urls', 'ip', 'failure', 'selected subject modifications', 'mailto urls', 'attachments', 'attachments', 'host', 'host', 'host', 'host status message', 'host', 'address object', 'host', 'host', 'host', 'html', 'group', 'domains', 'duplicates', 'address object', 'URL blacklist', 'instance', 'data capture file', 'task', 'empty array', 'empty array', 'empty array', 'bracket', 'brackets', 'char', 'duplicate URLs', 'threatconnect tag', 'containment measure', 'email', 'review tag', 'review tag', 'whitelist review tag', 'external IP tag', 'file', 'false positive', 'quarantine', 'mailto urls', 'host', 'host', 'host', 'host', 'host', 'host', 'host', 'domains', 'duplicates', 'duplicates', 'duplicates', 'duplicates', 'duplicates', 'instance', 'threatconnect tag', 'review tag', 'external IP tag']"
rename,"['count field', 'fields', 'file', 'file']"
render,"['verdict note', 'html', 'html', 'html']"
reopen,['issue']
repeat,"['status', 'status', 'malicious url list', 'parsed malicious url list', 'result', 'action status', 'tool status', 'return message', 'alert', 'user', 'case', 'status', 'status', 'status', 'adaptive card response', 'block status', 'alert', 'status', 'result', 'case', 'status', 'malicious url list', 'parsed malicious url list', 'status']"
replace,"['data', 'server list', 'data', 'string', 'abstract', 'name', 'hash', 'comma', 'spaces', 'temporary seperator', 'HKU', 'HKLM', 'HKCC', 'HKCR', 'HKCU', 'HKPD', 'data', 'string', 'string']"
reply,"['email', 'email', 'acknowledgement', 'results', 'user']"
report,"['malware', 'removal status', 'checkpoint status', 'checkpoint status', 'host status', 'check point status', 'checkpoint status', 'assets', 'asset details', 'malformed command', 'vulnerability info', 'search status', 'search status', 'vulnerability', 'search status', 'malformed command', 'asset details', 'self approval', 'items', 'false positive', 'observation', 'malware sample', 'CISO', 'malware sample', 'removal status', 'checkpoint status', 'checkpoint status', 'host status', 'check point status', 'checkpoint status', 'search status', 'asset details', 'self approval', 'false positive']"
request,"['payload', 'access token', 'ipdate', 'create', 'file name', 'file', 'website', 'RSS', 'data', 'network log analysis', 'system rebuild', 'website', 'website', 'network log analysis']"
rerun,['simuation']
reset,"['Ack SLA', 'Ack SLA', 'response SLA ', 'platform reset resp sla', 'priority weight', 'response SLA', 'user password', 'user password', 'pw', 'feed status', 'blocklist', 'blocklist', 'blocklist', 'blocklist', 'password', 'password', 'user account', 'service account', 'user password', 'priority weight', 'Ack SLA', 'response SLA ', 'Ack SLA', 'user password', 'user password', 'user password', 'user password', 'user password', 'pw', 'pw', 'pw', 'password', 'service account', 'user password', 'user password']"
resize,"['volume', 'volume']"
resolve,"['alert', 'object', 'snow incident', 'ioc block allow confict', 'issue', 'issue', 'issue', 'object', 'issue', 'issue']"
respond,"['host creation status', 'host status', 'status', 'ticket', 'ticket', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state', 'email ticket', 'host creation status', 'status', 'quarantine state', 'quarantine state', 'quarantine state', 'quarantine state']"
restart,"['service', 'service']"
restore,"['corrupted files', 'endpoint connections', 'file', 'standard network access', 'service', 'system', 'file']"
resume,"['Ack SLA', 'response SLA', 'playbook', 'scan', 'Ack SLA', 'response SLA']"
retrieve,"['existing records', 'new incidents', 'incidents', 'report', 'domain report', 'groups', 'report', 'vulnerability sync tasks', 'vulnerability sync batch', 'feed status', 'keywords', 'snort rule zip', 'yara rules', 'attachment', 'file', 'email', 'scan results', 'packet capture', 'service risk profile', 'domain url', 'case file hash', 'case ip', 'email information', 'case information', 'case information', 'source content', 'report', 'report', 'report', 'feed status', 'keywords', 'file', 'email', 'service risk profile', 'domain url', 'case file hash', 'case ip', 'domain url', 'domain url', 'email information', 'case ip', 'case information']"
return,"['related records', 'results', 'access token', 'results', 'data', 'value', 'results', 'results', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value']"
reverse,"['dns lookup', 'dns lookup', 'dns lookup']"
revert,"['vm', 'vm', 'vm']"
