playbook_id;step_id;vendor;playbook_name;playbook_description;step_names;step_types;step_description;actuator;action;artifact;automation
p371;s4023;LogicHub;OOB: Tenable Scan to S3;no description;faileds Tenable Download;;Platform faileds Tenable Download;Platform;check;download;1
p371;s4024;LogicHub;OOB: Tenable Scan to S3;no description;writes To Failure List;;Platform writes To Failure List;Platform;write;failure list;1
p371;s4025;LogicHub;OOB: Tenable Scan to S3;no description;hides Failure List;;Platform hides Failure List;Platform;hide;failure list;1
p371;s4026;LogicHub;OOB: Tenable Scan to S3;no description;outputs Failures;;Platform outputs Failures;Platform;output;failures;1
p371;s4027;LogicHub;OOB: Tenable Scan to S3;no description;writes To Scan History;;Platform writes To Scan History;Platform;write;scan history;1
p371;s4028;LogicHub;OOB: Tenable Scan to S3;no description;hides Scan History;;Platform hides Scan History;Platform;hide;scan history;1
p371;s4029;LogicHub;OOB: Tenable Scan to S3;no description;outputs New Scans;;Platform outputs New Scans;Platform;output;new scans;1
p371;s4030;LogicHub;OOB: Tenable Scan to S3;no description;dones;;Platform dones;Platform;end;workflow;1
p371;s4031;LogicHub;OOB: Tenable Scan to S3;no description;s3s File Upload;;Platform s3s File Upload;S3;upload;file;1
p371;s4032;LogicHub;OOB: Tenable Scan to S3;no description;scans ID Set;;Platform scans ID Set;Platform;scan;ID set;1
p371;s4033;LogicHub;OOB: Tenable Scan to S3;no description;olds Failures Now Passed;;Platform olds Failures Now Passed;Platform;check;failures;1
p371;s4034;LogicHub;OOB: Tenable Scan to S3;no description;hides Failure List 2;;Platform hides Failure List 2;Platform;hide;failure list;1
p371;s4035;LogicHub;OOB: Tenable Scan to S3;no description;news Tenable Failures;;Platform news Tenable Failures;Tenable;get;failure;1
p373;s4039;LogicHub;Sample Playbook - Create Case with Markdown via Playbook;no description;sets case fields;;Platform sets case fields;Platform;set;case fields;1
p373;s4040;LogicHub;Sample Playbook - Create Case with Markdown via Playbook;no description;parses integration response;;Platform parses integration response;Platform;parse;integration response;1
p374;s4042;LogicHub;Sample Playbook - URL Screenshot with urlscan_io;no description;creates Custom Data;;Platform creates Custom Data;Platform;create;custom data;1
p374;s4043;LogicHub;Sample Playbook - URL Screenshot with urlscan_io;no description;urs Ls Scan;;Urlscan_IO urs Ls Scan;Urlscan_IO;scan;urls;1
p374;s4044;LogicHub;Sample Playbook - URL Screenshot with urlscan_io;no description;validates url;;Platform validates url;Platform;validate;url;1
p374;s4045;LogicHub;Sample Playbook - URL Screenshot with urlscan_io;no description;valids UR Ls only;;Platform valids UR Ls only;Platform;validate;url;1
p374;s4046;LogicHub;Sample Playbook - URL Screenshot with urlscan_io;no description;parses urlscan results;;Platform parses urlscan results;Platform;parse;url scan results;1
p375;s4048;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;validates IP Format;;Platform validates IP Format;Platform;validate;IP format;1
p375;s4049;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;ips is Valid;;Platform ips is Valid;Platform;check;ip validation;1
p375;s4050;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;ips Scan;;Threatminer ips Scan;Threatminer;scan;ips;1
p375;s4051;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;ips is Invalid;;Platform ips is Invalid;Platform;check;ip;1
p375;s4052;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;explodes WHOIS Results;;Platform explodes WHOIS Results;Platform;explode;whois results;1
p375;s4053;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;parses Threatminer WHOIS Results;;Platform parses Threatminer WHOIS Results;Platform;parse;threatminer whois results;1
p375;s4054;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;loginss from Outside of US;;Platform loginss from Outside of US;Platform;check;logins;1
p375;s4055;LogicHub;Sample Playbook - WHOIS Lookup via Threatminer integration;no description;fakes Event Data;;Platform fakes Event Data;Platform;check;event data;1
p376;s4058;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;splits response;;Platform splits response;Platform;split;response;1
p376;s4059;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;filters data;;Platform filters data;Platform;filter;data;1
p376;s4060;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;replaces c2 servers list;;Platform replaces c2 servers list;Platform;replace;server list;1
p376;s4061;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;distincts fields;;Platform distincts fields;Platform;get;distinct fields;1
p376;s4062;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;sets url;;Platform sets url;Platform;set;url;1
p376;s4063;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;extracts with Regexes;;Utilities extracts with Regexes;Utilities;extract;regex;1
p376;s4064;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;extracts json fields;;Platform extracts json fields;Platform;extract;json fields;1
p376;s4065;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;iocs count;;Platform iocs count;Platform;count;iocs;1
p376;s4066;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;distincts fields Child1;;Platform distincts fields Child1;Platform;get;distinct fields;1
p376;s4067;LogicHub;secops_osint_c2_collection_OSINT C2 Servers Collection;no description;tops 10 ioc;;Platform tops 10 ioc;Platform;get;ioc;1
p377;s4071;LogicHub;Selectively Delete Old Cases;no description;deletes Case;;Case Management deletes Case;Case Management;delete;case;1
p377;s4072;LogicHub;Selectively Delete Old Cases;no description;raises case search failures;;Platform raises case search failures;Platform;raise;case search failures;1
p377;s4073;LogicHub;Selectively Delete Old Cases;no description;drops unneeded columns;;Platform drops unneeded columns;Platform;drop;columns;1
p377;s4074;LogicHub;Selectively Delete Old Cases;no description;fails if case deletion failed;;Platform fails if case deletion failed;Platform;raise;deletion failure;1
p377;s4076;LogicHub;Selectively Delete Old Cases;no description;sets filter conditions;;Platform sets filter conditions;Platform;set;filter conditions;1
p377;s4077;LogicHub;Selectively Delete Old Cases;no description;skips if minimum age invalid;;Platform skips if minimum age invalid;Platform;check;minimum age ;1
p377;s4078;LogicHub;Selectively Delete Old Cases;no description;calculates minimum case date;;Platform calculates minimum case date;Platform;calculate;minimum case date;1
p377;s4079;LogicHub;Selectively Delete Old Cases;no description;preps case search;;Platform preps case search;Platform;prepare;case search;1
p377;s4080;LogicHub;Selectively Delete Old Cases;no description;parses and validate case search results;;Platform parses and validate case search results;Platform;parse;search results;1
p377;s4081;LogicHub;Selectively Delete Old Cases;no description;parses case deletion results;;Platform parses case deletion results;Platform;parse;case deletion results;1
p377;s4082;LogicHub;Selectively Delete Old Cases;no description;finals output;;Platform finals output;Platform;print;final output;1
p377;s4083;LogicHub;Selectively Delete Old Cases;no description;minimums case age invalid;;Platform minimums case age invalid;Platform;check;minimum case age;1
p378;s4085;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;ips vt score;;Platform ips vt score;Virus Total;score;ips;1
p378;s4086;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;groups by source and destination;;Platform groups by source and destination;Platform;group;source;1
p378;s4087;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;applys file scorer;;Platform applys file scorer;Platform;apply;file scorer;1
p378;s4088;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;analyzes IP Address;;Virus Total analyzes IP Address;Virus Total;analyze;virus ip address;1
p378;s4089;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;combines scores;;Platform combines scores;Platform;combine;scores;1
p378;s4090;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;searchs Events;;AlienVault USM searchs Events;AlienVault USM;search;events;1
p378;s4091;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;files paths;;Platform files paths;Platform;get;file paths;1
p378;s4092;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;files path score;;Platform files path score;Platform;score;file path;1
p378;s4093;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;judgements criteria;;Platform judgements criteria;Platform;get;judgements;1
p378;s4094;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;operators json To Columns;;Platform operators json To Columns;Platform;transform;JSON;1
p378;s4095;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;expands detected urls;;Platform expands detected urls;Platform;expand;URLs;1
p378;s4096;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;joins back with main;;Platform joins back with main;Platform;join;back;1
p378;s4097;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;orders by time;;Platform orders by time;Platform;order;platform;1
p378;s4098;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;highests ranked row;;Platform highests ranked row;Platform;get;highest rank;1
p378;s4101;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;convictions;;Platform convictions;Platform;convict;alert;1
p378;s4102;LogicHub;siem_alert_triage_alienvault_to_case_to_jira;no description;destinations more than once;;Platform destinations more than once;Platform;check;destinations;1
p379;s4103;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;unixs SUDO Commands Event Type;;Platform unixs SUDO Commands Event Type;Platform;get;event type;1
p379;s4105;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;joins current commands to historical commands;;Platform joins current commands to historical commands;Platform;join;commands;1
p379;s4106;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;finds new commands by user;;Platform finds new commands by user;Platform;find;commands;1
p379;s4107;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;renames count field;;Platform renames count field;Platform;rename;count field;1
p379;s4108;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;sudos Command History;;Platform sudos Command History;Platform;get;command history;1
p379;s4110;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;indicators New SUDO command by a user;;Platform indicators New SUDO command by a user;Platform;get;command;1
p379;s4111;LogicHub;yyy_a_Detection - New Unix SUDO Command By User;no description;logics Hub MDR Format Alert for Sumo;;Platform logics Hub MDR Format Alert for Sumo;Platform;format;alert;1
p380;s4112;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;commons ports destination;;Platform commons ports destination;Platform;get;port destinations;1
p380;s4113;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;joins common ports;;Platform joins common ports;Platform;join;ports;1
p380;s4114;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;indicators Allowed connection to private address on common port;;Platform indicators Allowed connection to private address on common port;Platform;get;allowed indicators;1
p380;s4115;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;indicators Allowed connection to private address on uncommon port;;Platform indicators Allowed connection to private address on uncommon port;Platform;get;allowed indicators;1
p380;s4116;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;untrusteds traffic to private destination addresses;;Platform untrusteds traffic to private destination addresses;Platform;get;untrusted traffic;1
p380;s4118;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;indicators Threat Alerts From Trusted Address;;Platform indicators Threat Alerts From Trusted Address;Platform;get;threat alerts;1
p380;s4119;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;aggregates by NAT destination;;Platform aggregates by NAT destination;Platform;aggregate;NAT destination;1
p380;s4120;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;palos Alto All Threats;;Platform palos Alto All Threats;Palo ALto;get;threats;1
p380;s4121;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;gets All Threat Activity;;Platform gets All Threat Activity;Platform;get;threat activity;1
p380;s4122;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;finds Threat Activity By Trusted Zones;;Platform finds Threat Activity By Trusted Zones;Platform;find;threat activity;1
p380;s4123;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;joins Threats To Trusted Addresses;;Platform joins Threats To Trusted Addresses;Platform;join;threats;1
p380;s4124;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;uncommons ports destination;;Platform uncommons ports destination;Platform;get;uncommon ports;1
p380;s4125;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;aggregates by destination;;Platform aggregates by destination;Platform;aggregate;destination;1
p380;s4126;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;palos Alto Allowed Traffic;;Platform palos Alto Allowed Traffic;Palo Alto;get;allowed traffic;1
p380;s4127;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;trusteds IP Addresses;;Platform trusteds IP Addresses;Platform;get;trusted ips;1
p380;s4129;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;untrusteds traffic to private NAT address;;Platform untrusteds traffic to private NAT address;Platform;get;nat traffic;1
p380;s4130;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;uncommons ports NAT destination;;Platform uncommons ports NAT destination;Platform;get;nat destination;1
p380;s4131;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;joins all indicators;;Platform joins all indicators;Platform;join;indicators;1
p380;s4132;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;joins uncommon ports;;Platform joins uncommon ports;Platform;join;ports;1
p380;s4133;LogicHub;yyy_a_Detection - Palo_Alto_Traffic_Sourcezone_Trusts;no description;commons ports NAT destination;;Platform commons ports NAT destination;Platform;get;NAT destination;1
p381;s4135;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;indicators Possible Port Knocking;;Platform indicators Possible Port Knocking;Platform;get;indicators;1
p381;s4136;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;groups by source and dest address;;Platform groups by source and dest address;Platform;group;source;1
p381;s4139;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;palos Alto Untrusted Inbound Connections;;Platform palos Alto Untrusted Inbound Connections;Palo Alto;get;inbound connections;1
p381;s4140;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;possibles Port Knocking;;Platform possibles Port Knocking;Platform;get;port knocking;1
p381;s4141;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;aggregates Destinations;;Platform aggregates Destinations;Platform;aggregate;destination;1
p381;s4142;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;timings of allowed connections;;Platform timings of allowed connections;Platform;get;timings;1
p381;s4143;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;indicators Ports are exposed that should be protected;;Platform indicators Ports are exposed that should be protected;Platform;get;indicator ports;1
p381;s4144;LogicHub;yyy_a_Detection - Palo_Alto_Untrusted_Inbound_Connections;no description;portss that Should Be Protected;;Platform portss that Should Be Protected;Platform;get;ports;1
p382;s4145;LogicHub;yyy_a_Detection - Palo_Alto_Url_Monitoring;no description;indicators Download of Compiled Help Module;;Platform indicators Download of Compiled Help Module;Platform;download;indicators;1
p382;s4147;LogicHub;yyy_a_Detection - Palo_Alto_Url_Monitoring;no description;indicators Download of risky files;;Platform indicators Download of risky files;Platform;download;indicators;1
p382;s4148;LogicHub;yyy_a_Detection - Palo_Alto_Url_Monitoring;no description;downloads of Compiled Help Module;;Platform downloads of Compiled Help Module;Platform;download;module;1
p382;s4149;LogicHub;yyy_a_Detection - Palo_Alto_Url_Monitoring;no description;downloads of risky files;;Platform downloads of risky files;Platform;download;files;1
p382;s4152;LogicHub;yyy_a_Detection - Palo_Alto_Url_Monitoring;no description;palos Alto Full Urls;;Platform palos Alto Full Urls;Palo Alto;get;full URL;1
p383;s4153;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;proofpoints Sender Addresses;;Platform proofpoints Sender Addresses;Platform;proofpoint;sender address;1
p383;s4154;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;matchs From Corpus;;Platform matchs From Corpus;Platform;match;corpus;1
p383;s4155;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;calculates Levenshtein;;Platform calculates Levenshtein;Platform;calculate;levenshtein;1
p383;s4156;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;extracts TLD From previous Domain;;Platform extracts TLD From previous Domain;Platform;extract;tld;1
p383;s4157;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;extracts TLD;;Platform extracts TLD;Platform;extract;tld;1
p383;s4158;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;extracts Initial JSON fields;;Platform extracts Initial JSON fields;Platform;extract;json fields;1
p383;s4159;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;recents Senders;;Platform recents Senders;Platform;get;senders;1
p383;s4160;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;renames Fields;;Platform renames Fields;Platform;rename;fields;1
p383;s4161;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;explodes qids to rows;;Platform explodes qids to rows;Platform;explode;qids;1
p383;s4162;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;joins qids to original data;;Platform joins qids to original data;Platform;join;qids;1
p383;s4163;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;converts rcpts to array;;Platform converts rcpts to array;Platform;convert;rcpts;1
p383;s4164;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;explodes rcpts to individual recipients;;Platform explodes rcpts to individual recipients;Platform;explde;rcpts;1
p383;s4165;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;indicators Email From Similar TLD Delivered;;Platform indicators Email From Similar TLD Delivered;Platform;check;emails;1
p383;s4167;LogicHub;yyy_a_Detection - Proofpoint_Monitoring - Similar Domains;no description;similars Sender Domains;;Platform similars Sender Domains;Platform;check;similar domain;1
p384;s4169;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;proofpoints;;Platform proofpoints;Platform;proofpoint;data;1
p384;s4170;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts Parts To Array;;Platform converts Parts To Array;Platform;conert;parts;1
p384;s4171;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;explodes Parts To Rows;;Platform explodes Parts To Rows;Platform;explode;parts;1
p384;s4173;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;extracts JSON fields From Parts;;Platform extracts JSON fields From Parts;Platform;extract;json fields;1
p384;s4174;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts UR Ls To Array;;Platform converts UR Ls To Array;Platform;convert;URL;1
p384;s4175;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;parseds Proofpoint Data;;Platform parseds Proofpoint Data;Platform;parse;proofpoint data;1
p384;s4176;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;subjectss with multiple dispositions;;Platform subjectss with multiple dispositions;Platform;check;subjects;1
p384;s4177;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;explodes Subject QI Ds to rows;;Platform explodes Subject QI Ds to rows;Platform;explode;subject;1
p384;s4178;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;interestings Subject QI Ds;;Platform interestings Subject QI Ds;Platform;check;subject;1
p384;s4179;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;joins Subject QI Ds To Original Logs;;Platform joins Subject QI Ds To Original Logs;Platform;join;subject;1
p384;s4180;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts Subject Anomoly Recipients To Array;;Platform converts Subject Anomoly Recipients To Array;Platform;convert;subject;1
p384;s4181;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Subject Anomolies;;Platform makes Individual Recipients From Subject Anomolies;Platform;make;individual subject;1
p384;s4182;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;explodes sender QI Ds to rows;;Platform explodes sender QI Ds to rows;Platform;explode;sender;1
p384;s4183;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;interestings Sender QI Ds;;Platform interestings Sender QI Ds;Platform;check;sender;1
p384;s4184;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds Sender QI Ds That Continued;;Platform finds Sender QI Ds That Continued;Platform;find;sender;1
p384;s4185;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds Subject QI Ds That Continued;;Platform finds Subject QI Ds That Continued;Platform;find;subject;1
p384;s4186;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;joins Sender QI Ds To Original Logs;;Platform joins Sender QI Ds To Original Logs;Platform;join;sender;1
p384;s4187;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts Sender Anomoly Recipients To Array;;Platform converts Sender Anomoly Recipients To Array;Platform;convert;sender;1
p384;s4188;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Sender Anomolies;;Platform makes Individual Recipients From Sender Anomolies;Platform;make;individual sender;1
p384;s4189;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;senderss with multiple dispositions;;Platform senderss with multiple dispositions;Platform;check;senders;1
p384;s4190;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;relayss with multiple dispositions;;Platform relayss with multiple dispositions;Platform;check;relay;1
p384;s4191;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;explodes relay QI Ds to rows;;Platform explodes relay QI Ds to rows;Platform;explode;relay;1
p384;s4192;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;interestings relay QI Ds;;Platform interestings relay QI Ds;Platform;check;relay;1
p384;s4193;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;joins Relay QI Ds To Original Logs;;Platform joins Relay QI Ds To Original Logs;Platform;join;relay;1
p384;s4194;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds Relay QI Ds That Continued;;Platform finds Relay QI Ds That Continued;Platform;find;relay;1
p384;s4195;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts Relay Anomoly Recipients To Array;;Platform converts Relay Anomoly Recipients To Array;Platform;convert;relay;1
p384;s4196;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Relay Anomolies;;Platform makes Individual Recipients From Relay Anomolies;Platform;make;recipient sender;1
p384;s4197;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;blockeds outbound emails;;Platform blockeds outbound emails;Platform;block;outbound emails;1
p384;s4198;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;looks for attachments with space after filename;;Platform looks for attachments with space after filename;Platform;look;attachments;1
p384;s4199;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts File Space Exploit Rcpts To Array;;Platform converts File Space Exploit Rcpts To Array;Platform;convert;file space;1
p384;s4200;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From File Space Exploit;;Platform makes Individual Recipients From File Space Exploit;Platform;make;recipient sender;1
p384;s4201;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;commons Office Attachments;;Platform commons Office Attachments;Platform;check;attachment;1
p384;s4202;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts Common Attachment Recipients To Array;;Platform converts Common Attachment Recipients To Array;Platform;convert;attachment;1
p384;s4203;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Common Attachments Recipients;;Platform makes Individual Recipients From Common Attachments Recipients;Platform;make;sender;1
p384;s4204;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;uncommons Attachments;;Platform uncommons Attachments;Platform;check;attachment;1
p384;s4205;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts Uncommon Attachment Recipients To Array;;Platform converts Uncommon Attachment Recipients To Array;Platform;convert;attachment;1
p384;s4206;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Uncommon Attachments Recipients;;Platform makes Individual Recipients From Uncommon Attachments Recipients;Platform;make;recipient sender;1
p384;s4207;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;sets Time Buckets;;Platform sets Time Buckets;Platform;set;time buckets;1
p384;s4208;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;removes Selected Subject Modifications;;Platform removes Selected Subject Modifications;Platform;remove;selected subject modifications;1
p384;s4209;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;joins forwarding QI Ds to Original Logs;;Platform joins forwarding QI Ds to Original Logs;Platform;join;QIDS;1
p384;s4210;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds Possible Forwarding;;Platform finds Possible Forwarding;Platform;find;forwarding;1
p384;s4211;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;explodes forwarding QI Ds to rows;;Platform explodes forwarding QI Ds to rows;Platform;explode;forwarding;1
p384;s4212;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;indicators Possible Automatic Email Forwarding;;Platform indicators Possible Automatic Email Forwarding;Platform;get;forwarding indicators;1
p384;s4213;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;reduces To Outbound;;Platform reduces To Outbound;Platform;reduce;outbound;1
p384;s4214;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds double extensions;;Platform finds double extensions;Platform;find;extensions;1
p384;s4215;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts double Extension recipients to array;;Platform converts double Extension recipients to array;Platform;convert;extension;1
p384;s4216;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Double Attachment Recipients;;Platform makes Individual Recipients From Double Attachment Recipients;Platform;make;recipient sender;1
p384;s4217;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds accepted incoming emails with urls;;Platform finds accepted incoming emails with urls;Platform;find;URLs;1
p384;s4218;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;explodes to individual UR Ls;;Platform explodes to individual UR Ls;Platform;explode;URLs;1
p384;s4219;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;removes mailto urls;;Platform removes mailto urls;Platform;remove;mailto urls;1
p384;s4221;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;aggregates distinct UR Ls;;Platform aggregates distinct UR Ls;Platform;aggregate;URLs;1
p384;s4222;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;expands malicious url qids;;Platform expands malicious url qids;Platform;expand;url qids;1
p384;s4223;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;converts malicious url recipients to array;;Platform converts malicious url recipients to array;Platform;convert;url recipients;1
p384;s4224;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;makes Individual Recipients From Malicious URL Recipients;;Platform makes Individual Recipients From Malicious URL Recipients;Platform;make;recipient sender;1
p384;s4225;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds malicious urls;;Platform finds malicious urls;Platform;find;urls;1
p384;s4227;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;removes probable benign attachments Child1;;Platform removes probable benign attachments Child1;Platform;remove;attachments;1
p384;s4228;LogicHub;yyy_a_Detection - Proofpoint_Monitoring;no description;finds results with malicious attachments;;Platform finds results with malicious attachments;Platform;find;results;1
